country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018
United States,Texas,75,68621327,5614141,4852215,866488,97895,75390,68491,104213,104370,92471,106248,94232,80143,95815,112812,111497,70159,74796,58944,71245,66642,56947
United States,Utah,10,21983248,2896698,2120336,3642,5327,26151,7094,10570,17064,5025,13220,5524,8288,6023,20300,11673,3769,3510,1760,3927,21381,28045
United States,Utah,15,21983248,2633212,1946346,3642,5219,24672,5991,9653,16770,4528,12094,5346,7863,5849,20048,11296,3224,2868,1478,3569,20882,26982
United States,Utah,20,21983248,2388629,1715709,3642,5147,23971,5806,9506,16644,4435,11941,5301,7749,5796,19905,11021,2824,2512,1277,3296,20389,25639
United States,Utah,25,21983248,2161682,1613188,3642,5036,22706,5535,9289,16480,4251,11346,5226,7539,5730,19746,10682,2396,2094,1104,2973,19633,24395
United States,Utah,30,21983248,2022737,1562489,3642,4959,21564,4937,8982,16252,4010,10504,5076,7178,5632,19557,10424,2221,1966,1036,2831,19183,23396
United States,Utah,50,21983248,1499686,926361,3642,4343,15932,3525,7420,14433,3068,7308,4418,5668,4897,18151,9038,1765,1570,848,2285,17286,18699
United States,Utah,75,21983248,1001897,448385,3642,3320,10297,2216,5638,11145,2139,4709,3498,4201,3920,15752,6989,1387,1179,662,1721,14016,13107
United States,Vermont,10,2494848,2043395,2035595,4816,2801,2066,900,2167,2383,3102,2040,2470,2506,3954,1729,2949,1811,2589,2562,3140,3418,3989
United States,Vermont,15,2494848,2021454,2014972,4816,2799,2066,900,2167,2383,3101,2039,2470,2506,3953,1729,2945,1805,2578,2560,3135,3414,3984
United States,Vermont,20,2494848,2007366,2007131,4816,2798,2066,900,2166,2383,3101,2039,2470,2506,3953,1729,2943,1802,2571,2558,3133,3410,3978
United States,Vermont,25,2494848,1999481,2004715,4816,2797,2065,900,2166,2382,3100,2039,2469,2505,3952,1729,2941,1799,2566,2556,3131,3408,3976
United States,Vermont,30,2494848,1986548,1989057,4816,2796,2064,900,2165,2382,3100,2039,2469,2505,3952,1729,2937,1795,2559,2553,3126,3404,3971
United States,Vermont,50,2494848,1929998,1938456,4816,2786,2060,899,2158,2377,3092,2036,2465,2502,3946,1727,2917,1769,2505,2534,3100,3381,3942
United States,Vermont,75,2494848,1804639,1823461,4816,2732,2031,888,2118,2336,3047,2007,2435,2476,3904,1717,2863,1679,2339,2453,2987,3278,3823
United States,Virginia,10,10374540,7344309,7017483,459379,55438,54419,40918,56231,63229,67324,67907,66985,56451,59194,49331,56463,55737,62507,64797,69675,71263,60679
United States,Virginia,15,10374540,7227950,6943168,459379,55418,54403,40913,56215,63209,67302,67881,66972,56444,59186,49322,56411,55540,62176,64461,69263,70745,60321
United States,Virginia,20,10374540,7137611,6866163,459379,55396,54390,40907,56197,63184,67271,67846,66951,56434,59172,49311,56367,55345,61864,64158,68885,70277,60005
United States,Virginia,25,10374540,7071973,6845127,459379,55378,54381,40904,56188,63173,67257,67829,66940,56431,59163,49304,56335,55224,61677,63978,68666,69983,59815
United States,Virginia,30,10374540,6958846,6687652,459379,55318,54347,40882,56144,63116,67196,67759,66894,56403,59132,49288,56260,54945,61268,63549,68172,69375,59407
United States,Virginia,50,10374540,6626443,6321099,459379,54890,54084,40707,55818,62709,66698,67232,66509,56189,58893,49177,55943,53723,59561,61768,66144,66922,57644
United States,Virginia,75,10374540,6034485,5653549,459379,51620,51269,38456,51749,58275,61756,62321,63137,54361,57086,48324,54505,50539,55599,57756,61571,61609,53655
United States,Washington,10,17487418,9399562,9124925,544125,77056,68310,83593,101767,78994,132525,89191,88424,54768,54575,50597,75762,62908,84286,110091,145671,110313,101161
United States,Washington,15,17487418,9161421,8935102,544125,76750,68236,83451,101629,78882,132349,89089,88289,54682,54550,50573,75649,62718,83498,109531,144601,109530,100376
United States,Washington,20,17487418,8957045,8778134,544125,76538,68124,83147,101423,78792,132011,88961,88137,54615,54522,50544,75489,62402,82397,108589,142738,108404,99468
United States,Washington,25,17487418,8839122,8733123,544125,76336,68034,82995,101264,78723,131788,88869,88015,54552,54494,50520,75355,62179,81611,107971,141570,107723,98848
United States,Washington,30,17487418,8712861,8636272,544125,75875,67860,82576,100965,78524,131275,88630,87738,54411,54446,50474,75202,61955,80733,107250,140326,106951,98116
United States,Washington,50,17487418,8073193,7767888,544125,72944,66002,78417,97839,76960,126425,86545,85569,53161,53835,49920,73474,60048,74408,100686,130195,101156,92599
United States,Washington,75,17487418,7184062,6849112,544125,67867,62333,72199,92502,73418,117732,81331,81292,50542,52520,48810,70736,56636,66337,89940,115677,91370,83396
United States,West Virginia,10,6268946,5336552,5165219,15326,8341,8858,3398,7577,12629,10390,15404,12816,9573,10484,7693,11940,7972,13494,13665,17053,19119,13786
United States,West Virginia,15,6268946,5274247,5128162,15326,8332,8854,3396,7573,12620,10386,15396,12813,9571,10482,7691,11914,7916,13352,13618,16994,19047,13745
United States,West Virginia,20,6268946,5228996,5103055,15326,8323,8848,3394,7569,12612,10382,15388,12809,9568,10478,7689,11891,7869,13221,13584,16945,18988,13717
United States,West Virginia,25,6268946,5203144,5094719,15326,8319,8846,3393,7568,12607,10380,15383,12806,9566,10477,7688,11876,7844,13151,13566,16922,18961,13702
United States,West Virginia,30,6268946,5153934,5033893,15326,8308,8841,3389,7563,12595,10373,15371,12800,9561,10475,7686,11853,7799,13025,13529,16873,18895,13671
United States,West Virginia,50,6268946,5012575,4868326,15326,8223,8790,3364,7506,12495,10303,15281,12747,9527,10435,7668,11753,7644,12622,13370,16667,18622,13530
United States,West Virginia,75,6268946,4701434,4507031,15326,7937,8531,3247,7224,12119,9975,14848,12481,9362,10235,7592,11505,7245,11818,12872,16050,17857,13132
United States,Wisconsin,10,16929671,7698118,7509832,93947,17665,14158,8100,20032,18927,17113,22760,20413,22075,19307,17379,20992,15130,18233,17277,21923,26688,26216
United States,Wisconsin,15,16929671,7516553,7390151,93947,17654,14150,8095,20002,18897,17080,22733,20388,22055,19297,17364,20946,15031,18141,17214,21841,26587,26111
United States,Wisconsin,20,16929671,7401050,7290619,93947,17647,14143,8091,19983,18871,17049,22713,20372,22040,19286,17351,20910,14954,18060,17167,21772,26512,26036
United States,Wisconsin,25,16929671,7316731,7256922,93947,17644,14140,8089,19975,18859,17040,22705,20364,22031,19281,17345,20886,14896,18004,17134,21721,26458,25981
United States,Wisconsin,30,16929671,7174480,7078904,93947,17631,14126,8081,19934,18815,16999,22668,20330,21999,19261,17325,20835,14786,17898,17077,21625,26354,25870
United States,Wisconsin,50,16929671,6687157,6493053,93947,17291,13794,7945,19157,18102,16331,22165,19903,21468,18963,16980,20328,14171,17221,16623,20992,25638,25240
United States,Wisconsin,75,16929671,5747551,5457844,93947,16196,12755,7422,17224,16376,14839,20552,18604,19994,18054,16216,19135,12376,15314,14842,18626,22891,23039
United States,Wyoming,10,25329647,3236209,2462845,51291,20074,15824,16877,18460,30086,7261,31191,30924,13737,19781,24971,24447,20143,12501,2846,15410,19392,19271
United States,Wyoming,15,25329647,3065139,2303564,51291,19697,15337,16517,18304,29566,6963,30622,30743,13693,19644,24829,24054,19424,12274,2811,15077,18696,18878
United States,Wyoming,20,25329647,2914407,2139321,51291,19586,15145,16342,18219,29369,6868,30505,30640,13669,19567,24743,23696,18876,12056,2756,14838,18146,18469
United States,Wyoming,25,25329647,2770035,2071538,51291,19253,14822,16063,18077,29012,6773,30264,30435,13625,19436,24621,23003,17950,11714,2697,14466,17470,17806
United States,Wyoming,30,25329647,2659189,2027482,51291,18942,14398,15696,17914,28439,6502,29725,30181,13568,19263,24445,22445,17320,11477,2655,14122,16901,17398
United States,Wyoming,50,25329647,2146952,1273245,51291,16398,12032,13686,16489,25393,5339,27397,27751,12967,17755,22771,19109,14375,9920,2234,11653,13627,14353
United States,Wyoming,75,25329647,1635028,631619,51291,11936,8831,10587,14107,20308,3743,22824,23027,11235,14834,19048,15304,11235,7795,1692,8339,9814,10365
